125,None,3,None,Américaine hyper-équipée,None,None,None,None,Bon,None,None,1,None,None,Oui,None,None,2,2,None,None,None,1979,9193022,for sale,apartment,duplex,1731,240000,good
125,None,3,Non,Équipée,None,None,32,2,None,None,None,1,2,None,None,Oui,None,None,None,Oui,1,Oui,1971,9227240,for sale,apartment,apartment,1731,285000,None
75,None,2,None,Semi-équipée,None,None,7,4,Bon,None,None,None,1,None,None,None,None,None,None,None,1,None,1966,9287968,for sale,apartment,apartment,1731,220000,good
73,None,1,None,Américaine équipée,None,None,17,None,Bon,None,None,1,1,None,None,None,None,None,None,None,None,None,1969,9197447,for sale,apartment,apartment,1731,145000,good
110,None,3,Non,Équipée,None,None,None,None,Bon,None,None,1,2,None,None,Oui,None,1,1,None,None,None,1980,9194846,for sale,apartment,apartment,1731,255000,good
75,None,2,None,Équipée,None,None,9,1,Bon,None,None,1,1,None,None,None,None,None,2,None,None,None,None,9215477,for sale,apartment,apartment,1731,165000,good
390,None,4,Non,None,None,None,None,2,Bon,None,None,2,2,None,Oui,Non,Oui,2,None,None,None,None,1983,9253550,for sale,apartment,apartment,1731,520000,good
199,None,2,Non,None,None,Oui,None,None,Bon,None,None,None,None,Non,None,Non,Oui,None,None,Oui,None,None,None,9250162,for sale,apartment,apartment,1731,265000,good
88,None,2,Oui,Équipée,None,Oui,None,None,Excellent état,None,None,1,1,None,None,None,None,1,1,Oui,None,Oui,1981,9167501,for sale,apartment,apartment,1731,229000,as new
191,786,3,Non,Semi-équipée,435,None,None,4,À rénover,1,None,1,1,None,Oui,None,None,1,None,None,None,None,1967,9179427,for sale,house,house,3770,229900,to renovate
204,305,5,Non,Semi-équipée,None,None,None,3,À rénover,None,None,1,1,Non,None,Non,None,1,None,None,None,None,None,9224012,for sale,house,house,3770,135000,to renovate
127,219,2,Non,Équipée,None,None,None,3,None,None,None,1,2,Non,None,Non,None,None,None,None,None,None,1955,9282365,for sale,house,house,3770,235000,None
314,443,4,Non,Équipée,None,None,10,3,Bon,1,None,1,2,Oui,None,Oui,None,2,None,Oui,1,Oui,1942,9275091,for sale,house,house,3770,295000,good
200,2776,3,Non,Équipée,None,Oui,None,4,Bon,None,None,1,2,None,Oui,None,None,4,5,None,2,None,1985,9282790,for sale,house,house,3770,355000,good
